Festival,Year,Track,Title,Brand,Agency,Category,Country,Award,Permalink
El Ojo de Iberoamerica,2025,PR,Sport the fight,Nike de Nike Brasil,Wieden+Kennedy Sao Paulo / Wieden+Kennedy,Experiencia en punto de venta,Brasil,Shortlist,/awards/el_ojo/2025/campaigns/sport-the-fight-nike-de-nike-brasil-wiedenkennedy-sao-paulo-wiedenkennedy-2025-3/
El Ojo de Iberoamerica,2025,PR,Feary tale,Nike de Nike Brasil,Wieden+Kennedy Sao Paulo / Wieden+Kennedy,Branded Content,Brasil,Shortlist,/awards/el_ojo/2025/campaigns/feary-tale-nike-de-nike-brasil-wiedenkennedy-sao-paulo-wiedenkennedy-2025-3/
El Ojo de Iberoamerica,2025,PR,Sport the fight,Nike de Nike Brasil,Wieden+Kennedy Sao Paulo / Wieden+Kennedy,Experiencia del usuario,Brasil,Shortlist,/awards/el_ojo/2025/campaigns/sport-the-fight-nike-de-nike-brasil-wiedenkennedy-sao-paulo-wiedenkennedy-2025-4/
El Ojo de Iberoamerica,2025,PR,Maraton,Nike de Nike Mexico,Wieden+Kennedy Mexico Mindshare,Excelencia en la experiencia de marca,Mexico,Shortlist,/awards/el_ojo/2025/campaigns/maraton-nike-de-nike-mexico-wiedenkennedy-mexico-mindshare-2025-5/
El Ojo de Iberoamerica,2025,PR,Maraton,Nike de Nike Mexico,Wieden+Kennedy Mexico Mindshare,Mercado especifico,Mexico,Shortlist,/awards/el_ojo/2025/campaigns/maraton-nike-de-nike-mexico-wiedenkennedy-mexico-mindshare-2025-6/
El Ojo de Iberoamerica,2025,PR,Maraton,Nike de Nike Mexico,Wieden+Kennedy Mexico Mindshare (Otro),Ambientaciones,Mexico,Shortlist,/awards/el_ojo/2025/campaigns/maraton-nike-de-nike-mexico-wiedenkennedy-mexico-mindshare-otro-2025-2/
El Ojo de Iberoamerica,2025,PR,Maraton,Nike de Nike Mexico,Wieden+Kennedy Mexico Mindshare (Otro),Mercado especifico,Mexico,Shortlist,/awards/el_ojo/2025/campaigns/maraton-nike-de-nike-mexico-wiedenkennedy-mexico-mindshare-otro-2025-3/
El Ojo de Iberoamerica,2025,PR,No women no car,Nissan de Nissan Mexicana,Edelman Mexico,Acciones de comunicacion y reputacion corporativa,Mexico,Shortlist,/awards/el_ojo/2025/campaigns/no-women-no-car-nissan-de-nissan-mexicana-edelman-mexico-2025/
El Ojo de Iberoamerica,2025,PR,Drygiene project,Opella de Opella Mexico,MRM Mexico / McCann Worldgroup Mexico,Producto,Mexico,Shortlist,/awards/el_ojo/2025/campaigns/drygiene-project-opella-de-opella-mexico-mrm-mexico-mccann-worldgroup-mexico-2025/
El Ojo de Iberoamerica,2025,PR,Allevia pollen passport,Opella de Opella-Allegra,MRM Spain,Uso de tecnologia,Brasil,Shortlist,/awards/el_ojo/2025/campaigns/allevia-pollen-passport-opella-de-opella-allegra-mrm-spain-2025-2/
El Ojo de Iberoamerica,2025,PR,A decision was made here,Oreo de Mondelez Colombia,LePub Bogota (Colombia),Alimentos y Bebidas,Colombia,Shortlist,/awards/el_ojo/2025/campaigns/a-decision-was-made-here-oreo-de-mondelez-colombia-lepub-bogota-colombia-2025-2/
El Ojo de Iberoamerica,2025,PR,Horas,Ovacion de Ovacion,Ogilvy Uruguay (Uruguay),Productos y Servicios,Uruguay,Shortlist,/awards/el_ojo/2025/campaigns/horas-ovacion-de-ovacion-ogilvy-uruguay-uruguay-2025/
