Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Spikes Asia,2025,TVCINEMA FILM,NIGHT FISHING,IONIQ,INNOCEAN,TV & Cinema Film,Grand Prix,https://ascentialcdn.filespin.io/api/v1/storyboard/9f5b066ac8c24fed83f69fa2fb90dc05/storyboard_000008.jpg
Spikes Asia,2025,TVCINEMA FILM,PCW FAMILY BUSINESS PLAY,PCW/ PHILIPPINE COMMISSION ON WOMEN,TRIBAL WORLDWIDE,Not-for-profit & Charity & Government,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/6260cf307e5240fda4ee0a6b4c3c2126/storyboard_000008.jpg
Spikes Asia,2025,TVCINEMA FILM,WHAT THE FAST!,KRUNGSRI FIRST CHOICE,LEO,Microfilm,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/042868af204e411ebe93003b692b1c7a/storyboard_000008.jpg
Spikes Asia,2025,TVCINEMA FILM,SHOT ON IPHONE - MIDNIGHT,APPLE,TBWA\MEDIA ARTS LAB,Social Behaviour & Cultural Insight,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/da0e08b2ecd94c6caa119a95c6a9707d/storyboard_000004.jpg
Spikes Asia,2025,TVCINEMA FILM,HEALTH SCAMS ACNE,DUTCHIE,OGILVY,Consumer Goods,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/45c20e97e93d4ea68fb464719a0cf373/storyboard_000008.jpg
Spikes Asia,2025,TVCINEMA FILM,HEALTH SCAMS MUSCLE,DUTCHIE,OGILVY,Consumer Goods,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/d4b433f11cd04a5592b8783ce439df2a/storyboard_000008.jpg
Spikes Asia,2025,TVCINEMA FILM,UNCLE AND AUNTIE,ROOJAI ONLINE INSURANCE,BBDO BANGKOK,Consumer Services & Business to Business,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/e738fa15acad4e85920a2f7f0180ed2e/storyboard_000008.jpg
Spikes Asia,2025,TVCINEMA FILM,CALL ME WHEN YOU NEED ME,VIVO,HAVAS CHINA,Consumer Goods,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/c8213e95cee843928274fe319692cfe9/storyboard_000008.jpg
Spikes Asia,2025,TVCINEMA FILM,THE IMPOSSIBLE CHOICE,ST JUDE INDIA CHILDCARE CENTRES,OGILVY,Not-for-profit & Charity & Government,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/487d32ed6eff4c268fe1116ac7e97133/storyboard_000008.jpg
Spikes Asia,2025,TVCINEMA FILM,SABINA BRALESS,SABINA,SOUR BANGKOK,Social Behaviour & Cultural Insight,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/0d923829484645468ffbb3bbb700c023/storyboard_000008.jpg
